no,ModelType,SNS,gender,age,YoB,Living Area,Last Used Internet Service,Last Used Internet Service,Last Used Internet Service,Last Used Internet Service,Last Used Internet Service,Last Used Internet Service,Last Used Internet Service,Last Used Internet Service,group,PerceivedExpertise_01,PerceivedExpertise_02,PerceivedExpertise_03,Intimacy_01,Intimacy_02,Intimacy_03,Intimacy_04,TrustWorthiness_01,TrustWorthiness_02,TrustWorthiness_03,Ad Attitude_01,Ad Attitude_02,Ad Attitude_03,Ad Attitude_04,Purchase Intent_01,Purchase Intent_02,Tourism Attitude,Similarity_01,Similarity_02,IntentPerception_01,IntentPerception_02,CognitivePerception_01,CognitivePerception_02,EmotionalPerception_01,EmotionalPerception_02,Empathy_01,Empathy_02,Empathy_03,Likeness to Virtualhuman,FrequentlyUsedSNSChannel,SNSUsageTime,MainSNSActivity,MainlyUsedSNSChannel,ReasonForObtainingTourismInfo,MaritalStatus,MaritalStatus,MaritalStatus,MaritalStatus,MaritalStatus,MaritalStatus,Occupation,Occupation,Occupation,Occupation,Occupation
1,Virtual,No SNS,1,42,3,8,1,2,,4,5,6,7,,3,2,2,2,3,3,2,2,2,2,2,3,3,3,2,3,3,2,2,2,2,2,1,2,1,1,2,2,1,3,1,3,1,1,1,,,,,5,6,7,,,1,3
3,Human,SNS,2,35,2,3,,2,3,4,,6,,,2,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,1,1,4,1,,3,,5,,,,,2,2
6,Virtual,No SNS,2,21,1,8,1,2,3,4,5,6,7,,3,4,3,3,4,4,4,4,4,4,4,3,2,4,2,2,2,3,2,2,3,3,2,3,4,4,2,2,2,4,1,3,1,1,1,1,2,,,5,6,,,,2,1
8,Human,SNS,2,31,2,1,1,2,3,,5,6,7,,2,3,2,2,3,3,3,3,2,2,2,2,2,3,2,1,1,3,2,2,2,2,2,2,2,3,2,2,2,2,2,5,1,1,2,1,,,,5,6,,,,2,2
9,Virtual,SNS,2,29,1,8,1,2,3,4,5,6,7,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,2,5,1,1,2,1,,,4,5,,,,,1,4
10,Human,SNS,2,36,2,8,1,2,3,4,5,6,7,,2,4,4,3,4,4,4,4,4,4,5,5,4,4,4,3,3,4,4,4,4,4,3,4,5,4,4,4,4,5,1,5,1,1,2,1,2,,,,6,,,,1,2
11,Virtual,No SNS,2,40,3,8,1,2,3,4,5,6,7,,3,4,3,3,4,4,4,3,3,3,3,3,3,4,4,2,2,3,3,3,3,3,3,3,2,2,3,3,3,2,1,3,1,1,1,1,,3,,,,7,,,1,7
15,Virtual,No SNS,2,27,1,1,1,2,3,4,5,6,7,,3,4,4,3,4,4,4,4,3,3,3,4,4,4,4,3,3,4,3,4,2,2,2,2,2,2,3,3,3,3,2,3,1,1,4,,,3,4,,,7,8,,2,1
16,Virtual,SNS,2,33,2,4,1,2,3,4,5,6,7,,1,2,2,2,3,2,1,4,2,1,1,3,2,4,3,2,2,3,1,1,5,4,2,2,3,3,1,1,1,1,1,4,2,1,2,1,,,,,6,,,,2,2
17,Human,No SNS,2,27,1,5,1,2,3,4,5,6,7,,4,3,4,2,2,3,2,4,3,2,2,2,2,3,2,2,2,3,3,2,4,3,3,2,2,2,2,2,1,1,1,3,1,2,,,,,,,,,,,2,2
22,Human,SNS,2,32,2,12,1,2,3,,,,,,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,2,3,3,4,3,3,3,3,3,3,3,2,3,1,1,2,1,,3,,5,,,,,2,3
23,Human,SNS,1,56,4,8,1,2,,4,,6,7,,2,2,2,4,3,5,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,3,4,4,3,4,4,4,3,4,2,2,1,1,1,1,,3,4,,6,,,,2,3
24,Virtual,SNS,1,38,2,10,1,2,,4,5,,7,,1,2,2,1,3,2,2,3,2,1,1,1,1,3,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,1,,,,,,7,,,2,2
